0,1,2,3,4,5,6,7,8
,Junior Block,,,,,,,
Location:,,,Caretakers Office,"Lion & Shark
Toilet",Garden Area,Lion Classroom,Shark Classroom,
,Type of Outlet:,,Taps,Push Taps,Tap,Push Taps,Push Taps,
,Condition of Outlet:,,Scaled,Scaled,Clean,Scaled,Scaled,
,Possibility of Spray,,Low,Low,Moderate,Low,Low,
,Formation?,,,,,,,
,Hot Water,,"56.9°c
CAL 1&2","18.3°c
CAL 1&2",N/A,N/A,N/A,
,Temperature:,,,,,,,
,Blended Water,,N/A,"18.3°c
TMV 17",N/A,N/A,N/A,
,Temperature:,,,,,,,
,Cold Water,,"17.4°c
CWST 1","18.3°c
CWST 1","21.1°c
IWS 1","17.8°c
CWST 1","17.6°c
CWST 1",
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Low Use,Daily,Daily,
,of Use:,,,,,,,
Assets:,,,"1x Basin
2x Washing
Machines","2x Basins
4x Toilets
1x Fountain",1x Bib Tap,2x Sinks,2x Sinks,
