0,1,2,3,4,5,6,7,8
,Junior Block,,,,,,,
Location:,,,"Chameleon Class
Toilet",Chameleon Class,Disabled W.C,,,
,Type of Outlet:,,Push Taps,Push Taps,Mixer Tap,,,
,Condition of Outlet:,,Scaled,Scaled,Clean,,,
,Possibility of Spray,,Low,Low,Low,,,
,Formation?,,,,,,,
,Hot Water,,"40.1°c
CAL 1&2",N/A,"50.4°c
CAL 1&2",,,
,Temperature:,,,,,,,
,Blended Water,,"30.1°c
TMV 28",N/A,"48.9°c
TMV 29",,,
,Temperature:,,,,,,,
,Cold Water,,"19.8°c
CWST 1","19.5°c
CWST 1","17.8°c
CWST 1",,,
,Temperature:,,,,,,,
,Determined Frequency,,Daily,Daily,Daily,,,
,of Use:,,,,,,,
Assets:,,,"2x Basins
4x Toilets",2x Sinks,"1x Basin
1x Toilet",,,
