0,1,2,3,4,5,6
Art Block,,,,,,
Location:,,Kitchen,Disabled W.C,Boys Toilet,Girls Toilet,Classroom
Type of Outlet:,,Taps,Mixer Tap,Push Taps,Push Taps,Push Taps
Condition of Outlet:,,Scaled,Clean,Clean,Clean,Clean
"Possibility of Spray
Formation?",,Low,Low,Low,Low,Low
"Hot Water
Temperature:",,"58.0°c
Combi 1","52.4°c
Combi 1","53.8°c
Combi 1","51.9°c
Combi 1","ISO
Combi 1"
"Blended Water
Temperature:",,N/A,"39.9°c
TMV 30","39.6°c
TMV 31","41.4°c
TMV 32","ISO
TMV 33"
"Cold Water
Temperature:",,"19.2°c
IWS 1","19.2°c
IWS 1","18.9°c
IWS 1","18.7°c
IWS 1","17.0°c
IWS 1"
"Determined Frequency
of Use:",,Daily,Daily,Low Use,Low Use,Low Use
Assets:,,"1x Sink
1x Dishwasher","1x Basin
1x Toilet","2x Basins
2x Toilets","2x Basins
2x Toilets","2x Trough Basins
2x Basins"
