0,1,2,3,4,5
,Sentinel Locations,,,Sentinel for:,
Infants Block,,,,,
External W.C (Near Boiler Room),,,Calorifier 1&2 + Incoming Water Supply 1,,
Servery Kitchen – Staff W.C,,,Calorifier 1&2 + CWST 1,,
The Hive – Kitchenette,,,Calorifier 1&2 + Incoming Water Supply 1,,
Owlet Classroom (Class 1),,,Calorifier 1&2 + Incoming Water Supply 1,,
Gosling Classroom (Class 2),,,Calorifier 1&2 + Incoming Water Supply 1,,
Ladybird Classroom (Class 5),,,Calorifier 1&2 + CWST 1,,
Caterpillar Classroom (Class 7),,,Calorifier 1&2 + CWST 1,,
Robin Classroom (Class 9),,,Calorifier 1&2 + CWST 1,,
Junior Block,,,,,
Caretakers Office,,,Calorifier 1&2 + CWST 1,,
Staff Room,,,Calorifier 1&2 + Incoming Water Supply 1,,
Chameleon Classroom (Class 11) – Toilet,,,Calorifier 1&2 + CWST 1,,
Tiger & Jaguar Classrooms – Toilet,,,Calorifier 1&2 + CWST 1,,
Lion & Shark + Dolphin & Stingray – Garden Area – Bib Tap,,,Incoming Water Supply 1,,
Lion & Shark Classrooms – Toilet,,,Calorifier 1&2 + CWST 1,,
Dolphin & Stingray Classrooms – Toilet,,,Calorifier 1&2 + CWST 1,,
Gecko & Crocodile Classrooms – Toilet,,,Calorifier 1&2 + CWST 1,,
Falcon Classroom (Class 7),,,Calorifier 1&2 + Incoming Water Supply 1,,
Art/School Club Block,,,,,
Kitchen,,,Combi 1 + Incoming Water Supply 1,,
Boys Toilet,,,Combi 1 + Incoming Water Supply 1,,
Classroom,,,Combi 1 + Incoming Water Supply 1,,
Parkwood Pre-School,,,,,
Kitchen,,,Water Heater 1 + Incoming Water Supply 1,,
Office – Kitchenette,,,Water Heater 1 + Incoming Water Supply 1,,
Disabled W.C,,,Water Heater 1 + Incoming Water Supply 1,,
Classroom,,,Water Heater 1 + Incoming Water Supply 1,,
