0,1,2,3,4,5,6,7,8,9,10,11
,Location:,,,Hot Outlet:,,,Cold Outlet:,,,Type of Asset:,
Junior Block – Well Being Room – W.C,,,,✓,,,✓,,,1x Basin + 1x Toilet,
Junior Block – Caretakers Office,,,,✓,,,✓,,,1x Sink,
Junior Block – Garden Area (Lion & Shark Shared Toilet),,,,,,,✓,,,1x Bib Tap,
Junior Block – Lion & Shark Shared Toilet,,,,,,,✓,,,1x Drinking Fountain,
Junior Block – Dolphin & Stingray Shared Toilet,,,,,,,✓,,,1x Drinking Fountain,
Junior Block – Entrance (Tiger & Jaguar Shared Toilet),,,,,,,✓,,,1x Bib Tap,
Junior Block – Tiger & Jaguar Shared Toilet,,,,,,,✓,,,1x Drinking Fountain,
Junior Block – Chameleon Toilet,,,,,,,✓,,,1x Drinking Fountain,
Junior Block – Outside Gecko Classroom,,,,,,,✓,,,1x Bib Tap,
Junior Block – Outside Main Servery,,,,,,,✓,,,1x Bib Tap,
Infants Block – Outside Main Servery,,,,,,,✓,,,1x Bib Tap,
"Infants Block – Outside – Owlet, Gosling & Cygnet Toilet",,,,,,,✓,,,1x Bib Tap + 1x Drinking Fountain,
Art/School Club Block – Boys Toilet,,,,✓,,,✓,,,2x Basins + 2x Toilets,
Art/School Club Block – Girls Toilet,,,,✓,,,✓,,,2x Basins + 2x Toilets,
Art/School Club Block – Classroom,,,,✓,,,✓,,,2x Trough Basins + 2x Basins,
