0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
HSG274 – Part 2 – Table 2.1,,,,,,,,Site Allocated Task,,,,,,,,,,
Service,,,Task,,,Frequency,,,Relevant,,,Frequency,,,Evidence:,,,Assigned to:
"Shower
Heads/Spray
Taps",,"Dismantle, clean, and descale removable parts,
heads, inserts and hoses where fitted.",,,"Quarterly or
As
Necessary",,,Yes,,,Quarterly,,,No,,,To Be Appointed,
"Emergency
Showers",,Flush through and purge to drain.,,,Six-Monthly,,,No,,,N/A,,,N/A,,,N/A,
POU Filters,,,Record the service start date and lifespan or end,,"As Per
Guidelines",,,No,,,N/A,,,N/A,,,N/A,
,,,date and replace filters as recommended by the,,,,,,,,,,,,,,,
,,,manufacturer (0.2 μm membrane POU filters,,,,,,,,,,,,,,,
,,,should be used primarily as a temporary control,,,,,,,,,,,,,,,
,,,measure while a permanent safe engineering,,,,,,,,,,,,,,,
,,,"solution is developed, although long-term use of",,,,,,,,,,,,,,,
,,,such filters may be needed in some healthcare,,,,,,,,,,,,,,,
,,,situations).,,,,,,,,,,,,,,,
"Multiple Use
Filters",,"Backwash and regenerate as specified by the
manufacturer.",,,,According,,No,,,N/A,,,N/A,,,N/A,
,,,,,,to set,,,,,,,,,,,,
,,,,,,Guidelines,,,,,,,,,,,,
"Base Exchange
Water
Softeners",,"Visually check the salt levels and top up salt, if
required. Undertake a hardness check to confirm
operation of the softener.",,,,Weekly,,No,,,N/A,,,N/A,,,N/A,
,,,,,,(Depending,,,,,,,,,,,,
,,,,,,upon size &,,,,,,,,,,,,
,,,,,,salt usage),,,,,,,,,,,,
,,Service and disinfect the vessels.,,,,"Annually,",,No,,,N/A,,,N/A,,,N/A,
,,,,,,or as per,,,,,,,,,,,,
,,,,,,Guidelines,,,,,,,,,,,,
"Infrequently
Used Outlets",,"Infrequently used equipment within a water
system (i.e., not used for a period equal to or
greater than seven days) should be included on
the flushing regime. Flush the outlets until the
temperature at the outlet stabilises and is
comparable to supply water and purge to drain.
Regularly use the outlets to minimise the risk from
microbial growth in the peripheral parts of the
water system, sustain and log this procedure once
started. For high risk populations, e.g., healthcare
and care homes, more frequent flushing may be
required as indicated by the risk assessment.",,,"Weekly, or
as indicated
by the risk
assessment",,,Yes,,,Weekly,,,Yes,,,Site Manager,
"Thermostatic
Mixing Valves
(TMV’s)",,"Where needed, inspect, clean, descale and
disinfect any strainers or filters associated with the
TMV’s.
To maintain protection against scald risk, TMV’s
require regular routine maintenance carried out by
competent persons in accordance with the
manufacturer’s instructions.",,,"Annually or
on a
frequency
defined by
the risk
assessment.",,,Yes,,,Annually,,,Yes,,,"Envirocure Ltd
(Contract expired
Sept 2021)",
"In-Line
Strainers",,"Where fitted, inspect, clean, descale and disinfect
any strainers of filters associated with TMV’s or
other sensitive equipment.",,,,Annually or,,Yes,,,Annually,,,No,,,"Envirocure Ltd
(Contract expired
Sept 2021)",
,,,,,,on a,,,,,,,,,,,,
,,,,,,frequency,,,,,,,,,,,,
,,,,,,defined by,,,,,,,,,,,,
,,,,,,the risk,,,,,,,,,,,,
,,,,,,assessment.,,,,,,,,,,,,
"Expansion
vessels",,"Where practical, flush through and purge to drain.
Where removable, bladders or diaphragms should
be changed according to the manufacturer’s
guidelines or as indicated by the risk assessment.",,,"Monthly –
Six-Monthly
or on a
frequency
defined by
the risk
assessment.",,,Yes,,,Annually,,,No,,,"Envirocure Ltd
(Contract expired
Sept 2021)",
